id,hoard_id,cross_reference
1,"ch1,2",igch1161
2,"ch1,9",igch2066
3,"ch1,9",igch2071
4,"ch1,9",igch2076
5,"ch1,9",igch2082
6,"ch1,16",igch2352
7,"ch1,19",igch1904
8,"ch1,21",igch1255
9,"ch1,25",igch0150
10,"ch1,29",igch1209
11,"ch1,32",igch1265
12,"ch1,47",igch1946
13,"ch1,51",igch1932
14,"ch1,57",igch2204
15,"ch1,93",igch958
16,"ch1,105",igch1746
17,"ch1,112",igch0341
18,"ch1,113",igch0342
19,"ch2,2",igch1289
20,"ch2,2",igch1290
21,"ch2,7",igch0689
22,"ch2,8",igch1872
23,"ch2,11",igch1178
24,"ch2,16",igch2088
25,"ch2,17",igch1644
26,"ch2,22",igch1905
27,"ch2,25",igch0997
28,"ch2,31","ch1,17"
29,"ch2,34",igch1909
30,"ch2,41",igch1239
31,"ch2,49","ch1,38"
32,"ch2,52","ch1,27"
33,"ch2,55",igch1670
34,"ch2,56",igch1691
35,"ch2,59",igch1287
36,"ch2,61",igch108
37,"ch2,62",igch134
38,"ch2,66",igch1048
39,"ch2,66",igch1067
40,"ch2,66",igch1094
41,"ch2,84",igch1342
42,"ch2,85",igch0238
43,"ch2,86",igch0557
44,"ch2,89","ch1,80"
45,"ch2,90","ch1,87"
46,"ch2,103","ch1,100"
47,"ch2,106",igch1477
48,"ch2,111",igch0316
49,"ch2,113",igch1933
50,"ch2,114",igch0332
51,"ch2,115",igch0640
52,"ch2,118","ch1,330"
53,"ch2,125",igch0352
54,"ch2,134","ch1,118"
55,"ch2,152","ch1,127"
56,"ch3,1","ch1,2"
57,"ch3,2",igch1636
58,"ch3,8","ch1,16"
59,"ch3,12","ch1,25"
60,"ch3,15","ch1,22"
61,"ch3,22","ch1,78"
62,"ch3,26","ch1,45"
63,"ch3,26","ch2,53"
64,"ch3,31",igch0132
65,"ch3,35",igch0452
66,"ch3,39",igch0464
67,"ch3,43","ch2,72"
68,"ch3,44",igch0958
69,"ch3,44","ch1,93"
70,"ch3,46",igch2019
71,"ch3,49",igch0179
72,"ch3,52",igch1004
73,"ch3,53","ch2,88"
74,"ch3,58","ch2,89"
75,"ch3,67",igch0674
76,"ch3,68",igch0675
77,"ch3,69",igch1350
78,"ch3,77",igch2350
79,"ch3,78",igch1581
80,"ch3,81",igch2349
81,"ch3,93","ch1,123"
82,"ch4,11",igch1644
83,"ch4,13",igch1875
84,"ch4,16","ch3,14"
85,"ch4,19",igch2120
86,"ch4,21",igch0058
87,"ch4,22",igch2132
88,"ch4,23","ch3,20"
89,"ch4,35","ch3,34"
90,"ch4,37",igch1960
91,"ch4,42",igch2009
92,"ch4,47",igch1315
93,"ch4,53","ch2,93"
94,"ch4,63",igch1351
95,"ch4,64","ch3,60"
96,"ch4,67",igch1350
97,"ch4,76",igch0325
98,"ch4,85","ch2,152"
99,"ch5,1",igch1165
100,"ch5,3","ch2,18"
101,"ch5,4",igch1875
102,"ch5,4","ch4,13"
103,"ch5,5",igch2352
104,"ch5,5","ch1,16"
105,"ch5,5","ch3,8"
106,"ch5,7","ch1,13"
107,"ch5,8",igch2078
108,"ch5,11","ch1,25"
109,"ch5,18",igch2041
110,"ch5,19","ch1,26"
111,"ch5,20",igch0058
112,"ch5,34",igch0157
113,"ch5,45",igch0315
114,"ch5,50",igch0928
115,"ch5,52",igch1358
116,"ch5,54","ch3,71"
117,"ch6,12","ch5,21"
118,"ch6,13","ch5,22"
119,"ch6,20","ch2,52"
120,"ch6,23",igch0150
121,"ch6,26","ch4,34"
122,"ch6,28",igch0172
123,"ch6,33","ch5,40"
124,"ch6,34","ch5,43"
125,"ch6,35","ch5,42"
126,"ch6,38","ch1,87b"
127,"ch6,43","ch3,74"
128,"ch7,10",igch1874
129,"ch7,11",igch1202
130,"ch7,12","ch6,4"
131,"ch7,12","ch6,5"
132,"ch7,13",igch0013
133,"ch7,18",igch2073
134,"ch7,20",igch1179
135,"ch7,21",igch1184
136,"ch7,22",igch0046
137,"ch7,23",igch2103
138,"ch7,26",igch0030
139,"ch7,29",igch0048
140,"ch7,30",igch2122
141,"ch7,31",igch2123
142,"ch7,32",igch1651
143,"ch7,35",igch1237
144,"ch7,39",igch0065
145,"ch7,49",igch1664
146,"ch7,53",igch1670
147,"ch7,53","ch2,55"
148,"ch7,62",igch1362
149,"ch7,65",igch0450
150,"ch7,68","ch6,23"
151,"ch7,70",igch0109
152,"ch7,75",igch0168
153,"ch7,81",igch0179
154,"ch7,82","ch6,32"
155,"ch7,93",igch0888
156,"ch7,95",igch1343
157,"ch7,96","ch6,36"
158,"ch7,98","ch6,37"
159,"ch7,104",igch254
160,"ch7,116",igch1810
161,"ch7,130",igch0296
162,"ch7,134","ch6,46"
163,"ch7,137",igch1815
164,"ch7,142","ch4,75"
165,"ch7,145","ch4,77"
166,"ch7,146","ch2,127"
167,"ch7,a14",igch1732
168,"ch7,a24","ch5,58"
169,"ch7,a25","ch3,87"
170,"ch8,13",igch0002
171,"ch8,15",igch0005
172,"ch8,21",igch1185
173,"ch8,30",igch1221
174,"ch8,34",igch0362
175,"ch8,38",igch1170
176,"ch8,40","ch1,6"
177,"ch8,42",igch1272
178,"ch8,43",igch1277
179,"ch8,44",igch1644
180,"ch8,45","ch6,4"
181,"ch8,49",igch1184
182,"ch8,55","ch7,16"
183,"ch8,60","ch3,10"
184,"ch8,74",igch0042
185,"ch8,80",igch1913
186,"ch8,82",igch1231
187,"ch8,90",igch1747
188,"ch8,92",igch0048
189,"ch8,96","ch5,17"
190,"ch8,99",igch1263
191,"ch8,105","ch3,16"
192,"ch8,117","ch7,36"
193,"ch8,122",igch0865
194,"ch8,128",igch0058
195,"ch8,148",igch0418
196,"ch8,148",igch0419
197,"ch8,148",igch0420
198,"ch8,163",igch1930
199,"ch8,168",igch1654
200,"ch8,170",igch0737
201,"ch8,188","ch1,38"
202,"ch8,190",igch1508
203,"ch8,191",igch0409
204,"ch8,197",igch0397
205,"ch8,200",igch0735
206,"ch8,209",igch2312
207,"ch8,209",igch2317
208,"ch8,212",igch0859
209,"ch8,230",igch0836
210,"ch8,242",igch1936
211,"ch8,247",igch1345
212,"ch8,251",igch0829
213,"ch8,252",igch0839
214,"ch8,253",igch0468
215,"ch8,257",igch0853
216,"ch8,266",igch1367
217,"ch8,272",igch1983
218,"ch8,273",igch2770
219,"ch8,287","ch2,68"
220,"ch8,289","ch4,39"
221,"ch8,292","ch3,37"
222,"ch8,301",igch0869
223,"ch8,312","ch2,70"
224,"ch8,316",igch0179
225,"ch8,318",igch0245
226,"ch8,324",igch1369
227,"ch8,325",igch2037
228,"ch8,327",igch2232
229,"ch8,330",igch2022
230,"ch8,335",igch2025
231,"ch8,335",igch2021
232,"ch8,335",igch2026
233,"ch8,337",igch 2014
234,"ch8,339","ch7,90"
235,"ch8,340","ch7,82"
236,"ch8,343",igch1313
237,"ch8,355",igch2014
238,"ch8,356",igch0469
239,"ch8,361",igch0605
240,"ch8,373",igch0217
241,"ch8,384",igch0551
242,"ch8,385",igch0552
243,"ch8,388",igch0554
244,"ch8,390",igch0472
245,"ch8,396",igch0473
246,"ch8,414","ch1,85"
247,"ch8,420","ch6,36"
248,"ch8,420","ch7,96"
249,"ch8,433","ch6,37"
250,"ch8,433","ch7,98"
251,"ch8,443","ch6,102"
252,"ch8,453",igch0260
253,"ch8,460","ch1,87a"
254,"ch8,477","ch3,63"
255,"ch8,492","ch1,90"
256,"ch8,492","ch1,91"
257,"ch8,494",igch0631
258,"ch8,494",igch0658
259,"ch8,499",igch0640
260,"ch8,510",igch0606
261,"ch8,512",igch2056
262,"ch8,518","ch5,57"
263,"ch8,531","ch6,50"
264,"ch8,532","ch3,80"
265,"ch8,541",igch2252
266,"ch8,547","ch3,82"
267,"ch8,558",igch0837
268,"ch8,559",igch0854
269,"ch8,559",igch0835
270,"ch8,561",igch0856
271,"ch8,585",igch1872
272,"ch8,585",igch1873
273,"ch8,585",igch1874
274,"ch8,585",igch1876
275,"ch8,585",igch1877
276,"ch8,585",igch1879
277,"ch8,585",igch1880
278,"ch8,585",igch1881
279,"ch8,585",igch1882
280,"ch8,585",igch1883
281,"ch8,585",igch1884
282,"ch8,585",igch1885
283,"ch8,585",igch1886
284,"ch8,585",igch1887
285,"ch8,585",igch1888
286,"ch8,585",igch1890
287,"ch8,585",igch1891
288,"ch8,585",igch1892
289,"ch8,585",igch1893
290,"ch8,585",igch1905
291,"ch8,585",igch1907
292,"ch8,589",igch2143
293,"ch8,589",igch2151
294,"ch8,589",igch2154
295,"ch8,589",igch2159
296,"ch8,589",igch2169
297,"ch8,589",igch2180
298,"ch8,589",igch2183
299,"ch8,589",igch2185
300,"ch8,589",igch2186
301,"ch8,589",igch2196
302,"ch8,589",igch2217
303,"ch8,589",igch2242
304,"ch8,589",igch2249
305,"ch8,589",igch2191
306,"ch8,589",igch2230
307,"ch8,589",igch2232
308,"ch8,589",igch2234
309,"ch8,589","ch3,21"
310,"ch8,589","ch6,21"
311,"ch8,589","ch7, 59"
312,"ch8,590",igch2145
313,"ch8,590",igch2150
314,"ch8,590",igch2167
315,"ch8,590",igch2183
316,"ch8,590",igch2184
317,"ch8,590",igch2185
318,"ch8,590",igch2198
319,"ch8,595",igch1423
320,"ch8,596","ch6,24"
321,"ch9,1",igch0006
322,"ch9,2",igch0008
323,"ch9,3",igch0007
324,"ch9,6",igch0011
325,"ch9,7",igch0696
326,"ch9,8",igch0035
327,"ch9,14","ch8,67"
328,"ch9,17","ch8,69"
329,"ch9,19",igch0046
330,"ch9,19","ch7,22"
331,"ch9,20",igch0032
332,"ch9,22",igch0043
333,"ch9,70",igch0058
334,"ch9,88",igch0408
335,"ch9,89","ch8,234"
336,"ch9,91",igch0427
337,"ch9,93",igch0426
338,"ch9,94",igch0409
339,"ch9,100",igch0101
340,"ch9,102",igch0047
341,"ch9,104",igch0778
342,"ch9,105",igch0399
343,"ch9,110","ch8,176"
344,"ch9,114","ch8,588"
345,"ch9,115","ch8,588"
346,"ch9,118","ch8,248"
347,"ch9,129","ch7,64"
348,"ch9,131","ch8,588"
349,"ch9,133","ch8,588"
350,"ch9,134","ch8,588"
351,"ch9,135","ch8,588"
352,"ch9,140","ch8,241"
353,"ch9,141",igch0093
354,"ch9,142",igch0143
355,"ch9,143",igch0885
356,"ch9,144",igch0050
357,"ch9,148",igch0091
358,"ch9,149","ch8,588"
359,"ch9,150","ch8,588"
360,"ch9,153","ch2,65"
361,"ch9,154","ch8,588"
362,"ch9,159",igch0448
363,"ch9,169",igch0445
364,"ch9,172",igch0168
365,"ch9,174",igch0447
366,"ch9,174",igch0458
367,"ch9,176","ch8,582"
368,"ch9,179","ch7,69"
369,"ch9,179","ch8,298"
370,"ch9,180",igch0162
371,"ch9,181","ch8,588"
372,"ch9,182","ch8,588"
373,"ch9,184","ch7,76"
374,"ch9,193",igch0141
375,"ch9,194",igch0175
376,"ch9,195",igch0176
377,"ch9,202","Ch8,571"
378,"ch9,203",igch0872
379,"ch9,205",igch0459
380,"ch9,206","ch8,235"
381,"ch9,209","ch8,588"
382,"ch9,210","ch8,588"
383,"ch9,211","ch8,588"
384,"ch9,213",igch0467
385,"ch9,214","ch8,367"
386,"ch9,219",igch0461
387,"ch9,225","ch3,41"
388,"ch9,232","ch8,410"
389,"ch9,234",igch0231
390,"ch9,235",igch0232
391,"ch9,238","ch8,419"
392,"ch9,239","ch8,25"
393,"ch9,243",igch0233
394,"ch9,245","ch1,88"
395,"ch9,247",igch0237
396,"ch9,251",igch0487
397,"ch9,252",igch0262
398,"ch9,259",igch0317
399,"ch9,263",igch0315
400,"ch9,267",igch0569
401,"ch9,268",igch0930
402,"ch9,272","ch3,74"
403,"ch9,272","ch6,43"
404,"ch9,275",igch0466
405,"ch9,275",igch0467
406,"ch9,276",igch0670
407,"ch9,279","ch8,500"
408,"ch9,309",igch0916
409,"ch9,311",igch0291
410,"ch9,313","ch3,75"
411,"ch9,325",igch0975
412,"ch9,333",igch1154
413,"ch9,334","ch8,600"
414,"ch9,339",igch1157
415,"ch9,340",igch1158
416,"ch9,343",igch1789
417,"ch9,344",igch1166
418,"ch9,345",igch1169
419,"ch9,347","ch8,19"
420,"ch9,348",igch1170
421,"ch9,348","ch8,38"
422,"ch9,351","ch1,6"
423,"ch9,351","ch8,40"
424,"ch9,353",igch1272
425,"ch9,353",igch1277
426,"ch9,353","ch8,42"
427,"ch9,355",igch1482
428,"ch9,356","ch8,587"
429,"ch9,357",igch1481
430,"ch9,357","ch8,587"
431,"ch9,358","ch8,47"
432,"ch9,360",igch1490
433,"ch9,360","ch8,587"
434,"ch9,362",igch1483
435,"ch9,362","ch8,587"
436,"ch9,363","ch1,14"
437,"ch9,363","ch8,587"
438,"ch9,364",igch1747
439,"ch9,364","ch8,90"
440,"ch9,364","ch8,587"
441,"ch9,366",igch1489
442,"ch9,366","ch8,587"
443,"ch9,367","ch8,587"
444,"ch9,368","ch8,587"
445,"ch9,369","ch8,587"
446,"ch9,372","ch8,587"
447,"ch9,373","ch8,587"
448,"ch9,374","ch8,587"
449,"ch9,377",igch1256
450,"ch9,377","ch8,587"
451,"ch9,378","ch8,65"
452,"ch9,379",igch1247
453,"ch9,380",igch1197
454,"ch9,381","ch8,591"
455,"ch9,382",igch1501
456,"ch9,382","ch8,587"
457,"ch9,383","ch8,587"
458,"ch9,386","ch8,123"
459,"ch9,386","ch8,587"
460,"ch9,387","ch5,17"
461,"ch9,387","ch8,96"
462,"ch9,388",igch1201
463,"ch9,389","ch8,93"
464,"ch9,390","ch8,91"
465,"ch9,391",igch1259
466,"ch9,391","ch8,587"
467,"ch9,395",igch1486
468,"ch9,395","ch8,587"
469,"ch9,396",igch1486
470,"ch9,396","ch8,587"
471,"ch9,397",igch1486
472,"ch9,397","ch8,587"
473,"ch9,398",igch1491
474,"ch9,398","ch8,587"
475,"ch9,399","ch8,587"
476,"ch9,400",igch1492
477,"ch9,400","ch8,587"
478,"ch9,401",igch1263
479,"ch9,404",igch1500
480,"ch9,404","ch8,587"
481,"ch9,405","ch8,587"
482,"ch9,406","ch2,39"
483,"ch9,406","ch8,587"
484,"ch9,407",igch1214
485,"ch9,409",igch1252
486,"ch9,409","ch8,587"
487,"ch9,411","ch8,27"
488,"ch9,412",igch1218
489,"ch9,413","ch8,587"
490,"ch9,414",igch1494
491,"ch9,414","ch8,587"
492,"ch9,418",igch1266
493,"ch9,419",igch1499
494,"ch9,419","ch8,587"
495,"ch9,422","ch8,143"
496,"ch9,423",igch1215
497,"ch9,424",igch1211
498,"ch9,425",igch1493
499,"ch9,425","ch8,587"
500,"ch9,426",igch1502
501,"ch9,426","ch8,587"
502,"ch9,427",igch1495
503,"ch9,427","ch8,587"
504,"ch9,428","ch8,587"
505,"ch9,429","ch8,587"
506,"ch9,430","ch8,587"
507,"ch9,431","ch8,587"
508,"ch9,433","ch8,587"
509,"ch9,434",igch1507
510,"ch9,434","ch8,587"
511,"ch9,435",igch1496
512,"ch9,435","ch8,587"
513,"ch9,436",igch1515
514,"ch9,436","ch8,587"
515,"ch9,437","ch8,587"
516,"ch9,438","ch8,587"
517,"ch9,439","ch8,587"
518,"ch9,440",igch1504
519,"ch9,442",igch1498
520,"ch9,442","ch8,587"
521,"ch9,443",igch1497
522,"ch9,443","ch8,587"
523,"ch9,444","ch8,587"
524,"ch9,445",igch1506
525,"ch9,445","ch8,587"
526,"ch9,447",igch1651
527,"ch9,447","ch7,32"
528,"ch9,447","ch8,587"
529,"ch9,448","ch8,587"
530,"ch9,449","ch8,587"
531,"ch9,450",igch1762
532,"ch9,450","ch8,587"
533,"ch9,451",igch1503
534,"ch9,451","ch8,587"
535,"ch9,455",igch1517
536,"ch9,455","ch8,587"
537,"ch9,460","ch8,189"
538,"ch9,461",igch1509
539,"ch9,461","ch8,587"
540,"ch9,462",igch1510
541,"ch9,462","ch8,587"
542,"ch9,466",igch1471
543,"ch9,474","ch3,30"
544,"ch9,479","ch8,295"
545,"ch9,486","ch8,284"
546,"ch9,491","ch8,290"
547,"ch9,492","ch8,246"
548,"ch9,498","ch8,307"
549,"ch9,499",igch1299
550,"ch9,500",igch1300
551,"ch9,509","ch8,427"
552,"ch9,511","ch6,37"
553,"ch9,511","ch7,98"
554,"ch9,511","ch8,433"
555,"ch9,513",igch1552
556,"ch9,513","ch1,75"
557,"ch9,515",igch1335
558,"ch9,516","ch4,57"
559,"ch9,526","ch8,467"
560,"ch9,528",igch1542
561,"ch9,529","ch3,59"
562,"ch9,530","ch1,80"
563,"ch9,530","ch2,89"
564,"ch9,530","ch3,58"
565,"ch9,530","ch8,442"
566,"ch9,538",igch1357
567,"ch9,539",igch1601
568,"ch9,539","ch8,587"
569,"ch9,543","ch8,474"
570,"ch9,554",igch1813
571,"ch9,555",igch1355
572,"ch9,557","ch4,72"
573,"ch9,558","ch6,46"
574,"ch9,558","ch7,134"
575,"ch9,568","ch8,536"
576,"ch9,569","ch3,80"
577,"ch9,569","ch8,532"
578,"ch9,570",igch1360
579,"ch9,573","ch8,546"
580,"ch9,582","ch2,127"
581,"ch9,582","ch7,146"
582,"ch9,586","ch8,550"
583,"ch9,589","ch1,75"
584,"ch9,592","ch2,136"
585,"ch9,596",igch1874
586,"ch9,596","ch7,10"
587,"ch9,597","ch8,55"
588,"ch9,600",igch1895
589,"ch9,601",igch1898
590,"ch9,602",igch1901
591,"ch9,603",igch1909
592,"ch9,607","ch8,46"
593,"ch9,608",igch1900
594,"ch9,609",igch1902
595,"ch9,610",igch1903
596,"ch9,611",igch1904
597,"ch9,611","ch1,19"
598,"ch9,613",igch1915
599,"ch9,614",igch1916
600,"ch9,615",igch1923
601,"ch9,616",igch1926
602,"ch9,617",igch1925
