id,hoard_id,title,ex_start_date,ex_end_date,buried,b_start_date,b_end_date,contents,notes,location_uri
1,"ch1,1",Asia Minor,1974,,-550-545,-550,-545,"6+ st., heavy standard",,https://pleiades.stoa.org/places/837
2,"ch1,2",Hellespont,1969,,c. 550 B.C.?,-550,-550,49+ EL,,https://pleiades.stoa.org/places/501434
3,"ch1,3",Asia Minor,1935/1940,,c. 525 B.C.,-525,-525,906 AR and hacksilber,,https://pleiades.stoa.org/places/837
4,"ch1,4",South Anatolia,1971,,c. 500 B.C.,-500,-500,10+ AR,,https://www.geonames.org/10922502
5,"ch1,5",Aegina,1973,,c. 500 B.C.?,-500,-500,12+ AR,,https://www.geonames.org/265501
6,"ch1,6",Lycia,1972,,c. 480 B.C. or later.,-480,-430,150+ AR,,https://pleiades.stoa.org/places/638965
7,"ch1,7",Egypt,c. 1955,,480 B.C. ?,-480,-480,23 AR,,https://www.geonames.org/357994
8,"ch1,8",Greece,1944 ?,,c. 480 B.C.,-480,-480,103+ AR,,https://www.geonames.org/390903
10,"ch1,10",Gela  'Pot hoard',1974,,c. 480 B.C,-480,-480,c. 500 AR,,https://www.geonames.org/6541964
11,"ch1,11",Pontolivado,1972,,c. 475 B.C.,-475,-475,55 AR,,https://www.geonames.org/734508
12,"ch1,12",Aegina (?),1965,,c. 460 B.C.?,-460,-460,36 AR,,https://www.geonames.org/265501
13,"ch1,13",N. W. Greece,1966,,c. 460 B.C.,-460,-460,136 AR,,https://www.geonames.org/6697811
14,"ch1,14",North Syria,1974,,Mid. 5th. cent. B.C.,-475,-425,16+ AR,,https://www.geonames.org/163843
15,"ch1,15",Black Sea,1970,,c. 425 bc.,-425,-425,108+ AR and hacksilber,,https://www.geonames.org/10922499
17,"ch1,17",Boeotia,1955,,Late 5th. cent. B.C,-425,-400,52 AR,,https://www.geonames.org/263441
18,"ch1,18",Chaleidice,c.1962,,Late 5th. cent. B.C.,-425,-400,16+ AR fractions,,https://www.geonames.org/735805
19,"ch1,19",Paestum,1858,,410-405 B.C.,-410,-405,,,https://www.geonames.org/3171709
20,"ch1,20",Asia Minor,1971,,Late 5th cent. B.C.,-425,-400,26+ EL,,https://pleiades.stoa.org/places/837
21,"ch1,21",Cilicia,1957,,c.400 B.C,-400,-400,,,https://pleiades.stoa.org/places/658440
22,"ch1,22",Bergamo (?),1971/2,,c. 400-395 B.C.,-400,-395,125+ EL sixths,,https://www.geonames.org/3182164
23,"ch1,23",Ionia,1972,,Early 4th. cent. B.C.,-400,-375,52+ AR fractions,,https://pleiades.stoa.org/places/550597
24,"ch1,24",Olbia,1968,,Early 4th. cent. B.C.,-400,-375,12 AE,,https://www.geonames.org/697953
25,"ch1,25",Karditsa,1970,,4th. cent. B.C.,-400,-301,149 AR,,https://www.geonames.org/260989
26,"ch1,26","lsparta, Turkey",uncertain date,,385/0 B.C.,-385,-380,34 AR,,https://www.geonames.org/311073
27,"ch1,27",Thessaly,c.1966,,Mid. 4th. cent. B.C,-375,-325,6 AR,,https://www.geonames.org/6697809
28,"ch1,28",South of Izmir (?),1974,,Mid. 4th. cent. B.C,-375,-325,28+ AR,,https://www.geonames.org/311046
29,"ch1,29",Marmaris,1970/1,,Mid. 4th. cent. B.C,-375,-325,87+ AR,,https://www.geonames.org/304782
30,"ch1,30",South Turkey,1972,,Mid. 4th. cent. B.C,-375,-325,6+ AR,,https://www.geonames.org/10922502
31,"ch1,31",N.W.Turkey,1973,,Mid. 4th. cent. B.C.,-375,-325,60+ AR,,https://www.geonames.org/10922497
32,"ch1,32","Yurlenik, near Mersin",1940,,Mid. 4th. cent. B.C.?,-375,-325,38 AR,,https://www.geonames.org/304531
33,"ch1,33",Thessaly,1969,,Mid. 4th. cent. B.C,-375,-325,4+ AR Pot hoard,,https://www.geonames.org/6697809
34,"ch1,34",Asia Minor,c. 1965,,Mid. 4th. cent. B.C.,-375,-325,573+ AR,,https://pleiades.stoa.org/places/837
35,"ch1,35",Asia Minor,c.I 960,,Mid. 4th. cent. B.C.,-375,-325,15+ AR,,https://pleiades.stoa.org/places/837
36,"ch1,36",Asia Minor,1973?,,Mid. 4th. cent. B.C,-375,-325,21+ AR,,https://pleiades.stoa.org/places/837
37,"ch1,37","Olympias, Chalcidice",1965?,,c.340 B.C.,-340,-340,56+ AR,,https://pleiades.stoa.org/places/501455
38,"ch1,38",Near Babylon,1973,,c. 323 B.C,-323,-323,Lot A 118+ AR ; Lot B 29+ AR,,https://www.geonames.org/98228
39,"ch1,39","Calanna (Reggio CaL),",1935,,Later 4th. cent. B.C.,-325,-300,13 AR,,https://pleiades.stoa.org/places/452280
40,"ch1,40",Thessaly,1971,,c. 315 B.C,-315,-315,90+ AR,,https://www.geonames.org/6697809
41,"ch1,41",Egypt,1974,,c. 314 B.c.,-314,-314,Lot A 120+ AR; Lot B20+ AR,,https://www.geonames.org/357994
42,"ch1,42","Langhadikia (35 km.E of SaLonika),",1974,,c.3I5 B.C.,-315,-315,2AR+176 AE,,https://www.geonames.org/734077
43,"ch1,43",Peloponnese,1969,,Late 4th. cent. B.c,-325,-300,9+ AR,,https://www.geonames.org/255620
44,"ch1,44",Lipari,1968,,c. 304 B.C.,-304,-304,Pot hoard. 345 AE,,https://www.geonames.org/2524378
45,"ch1,45","Pelin, dep. Constanta",1973,,c.300 B.C,-300,-300,Pot hoard. 206 AE,,
46,"ch1,46","Nighrita, Serres",1973,,c. 300 B.c,-300,-300,45+ AE,,https://www.geonames.org/734924
47,"ch1,47",Cariati,1957,,c. 300 B.C.,-300,-300,AR,,https://www.geonames.org/2525352
48,"ch1,48","Gerace Superiore (Reggio al.),",1940,,c. 300 B.c,-300,-300,5 AR,,https://pleiades.stoa.org/places/442518
50,"ch1,50","Ginosa, Calabria",1911,,c. 300 B.C.,-300,-300,22+ AR,,https://www.geonames.org/3176097
52,"ch1,52",Thessaly,c. 1970,,Early 3rd. cent.?,-300,-275,75+ AR,,https://www.geonames.org/6697809
53,"ch1,53",Izmir ?,1965,,Early 3rd. cent. B.C,-300,-275,11+ AE,,https://www.geonames.org/311046
54,"ch1,54",Leros,1974,,Early 3rd. cent. B.C.?,-300,-275,16+ AR,,https://pleiades.stoa.org/places/599763
55,"ch1,55",Asia Minor,1970,,c.290·280 b.c.,-290,-280,298+ AR,,https://pleiades.stoa.org/places/837
56,"ch1,56",Turkey,1973/4,,c. 275 B.C.?,-275,-275,94+ AR,,https://www.geonames.org/298795
57,"ch1,57",Morgantina,1966,,c. 275/4 or later,-275,-274,,,https://www.geonames.org/2524052
58,"ch1,58",Qazvin,1965/6,,c. 275 B.C,-275,-275,150+ AR,,https://www.geonames.org/119505
59,"ch1,59",Diyarbakir,1972/3,,c.235B.C.?,-235,-235,J9+AR,,https://www.geonames.org/316540
60,"ch1,60",Taranto,1930,,c. 275 B.c,-275,-275,3+ AR,,https://www.geonames.org/3165926
61,"ch1,61","Ceglie Messapieo (Calabria, 25m. W. of Brindisi),",1909,,c. 275 s.c,-275,-275,60+ AR,,https://pleiades.stoa.org/places/442516
62,"ch1,62","Atella, Campania",1933,,c. 270 s.c,-270,-270,46 AR 2 AE,,https://pleiades.stoa.org/places/432705
63,"ch1,63",Kastelli,1945,,Mid. 3rd.cent.B.C.,-275,-225,18+ AE,,https://www.geonames.org/260805
64,"ch1,64","Bulla Regia (Hammam Derradji),",1973,,c.235 B.c,-235,-235,Pot hoard. 3 EL + 126 Bill.,,https://pleiades.stoa.org/places/314912
65,"ch1,65",Taranto,1910,,Mid.3rd.eent.B.C.,-275,-225,13+ AR,,https://www.geonames.org/3165926
66,"ch1,66",Ionia,1973,,3rd.cent. B.C,-300,-201,18+ AR,,https://pleiades.stoa.org/places/550597
67,"ch1,67",South Italy,1972 ?,,c.250-225 B.C.,-250,-225,84 + AR,,https://www.geonames.org/2525468
68,"ch1,68",Bahrain,1969/70,,245-215 B.C,-245,-215,292 AR,,https://www.geonames.org/290291
69,"ch1,69",Antalya,1974,,Late 3rd.cent. B.C.,-225,-200,. 37+ AU,,https://www.geonames.org/323779
70,"ch1,70","Montegiordano (Cosenza),",1969,,Late 3rd.cent. B.C,-225,-200,23 AR + 1 AE,,https://pleiades.stoa.org/places/452384
71,"ch1,71",Abdera ?,,,Late 3rd.cent.B.C.,-225,-200,AE,,https://www.geonames.org/736675
72,"ch1,72",Macedonia,1960's,,Late 3rd.cenLB.C.,-225,-200,16+ AR,,https://www.geonames.org/6697801
73,"ch1,73","Asia Minor,",1972,,c.200 B.C.,-200,-200,100 + AR,,https://pleiades.stoa.org/places/837
74,"ch1,74","Asia Minor or North Syria,",1970,,c.200 B.C.,-200,-200,148 AR,,https://pleiades.stoa.org/places/837
76,"ch1,76",Agrinion,1968,,Early 2nd cent B.C.,-200,-175,AR 'hundreds',,https://www.geonames.org/265560
77,"ch1,77",Syria,before 1960,,c.170-160 B.C,-170,-160,. 142 + AR,,https://www.geonames.org/163843
78,"ch1,78","Kabala, Azerbaijan",,,c.160 B.C,-160,-160,AR,,https://www.geonames.org/585231
79,"ch1,79",Phoenicia,1971,,c.155 B.C,-155,-155,22+ AR,,https://www.geonames.org/8504928
80,"ch1,80",Asia Minor,before 1970,,C.155 B.C.,-155,-155,35 + AR,,https://pleiades.stoa.org/places/837
81,"ch1,81",Iran,,,c. 150 BC,-150,-150,17+ AE,,https://www.geonames.org/130758
82,"ch1,82",North Syria,1974,,C.155 B.C,-155,-155,AR,,https://www.geonames.org/163843
83,"ch1,83",Thessaly,1970,,Mid.2nd cent BC,-175,-125,AR,,https://www.geonames.org/6697809
84,"ch1,84","S. France,",1973/4,,Mid 2nd.cent. B.C.?,-175,-25,33 + AE,,https://geo-kima.org/place/15328
85,"ch1,85",,1973,,Mid.2nd.cent.B.C.,-175,-125,AR,,
86,"ch1,86",Cheikh Miskin,1967,,143/2 B.C,-143,-142,167+ AR,,https://www.openstreetmap.org/node/567054206
87,"ch1,87A",Cilicia from near Kirikhan,1972,,c.140 B.C.,-140,-140,'About 5000' AR,,https://www.geonames.org/307657
88,"ch1,87B",S. Bulgaria,1974,,c.140 B.C.,-140,-140,372 AR,,https://pleiades.stoa.org/places/216688
89,"ch1,88",Yugoslavia,many years ago,,2nd. Cent.B.C,-199,-100,AE,,https://www.geonames.org/7500737
90,"ch1,89",North Africa,before 1941,,2nd.cent. B.C,-199,-100,AE,,https://pleiades.stoa.org/places/775
91,"ch1,90",,1971,,Late 2nd.cent.B ..,-125,-100,75+ AR,,
92,"ch1,91",,1973,,Late 2nd.cent.B.C.,-125,-100,266+ AR,,
93,"ch1,92","Haskovo, Bulgaria",1974,,Early Ist.cent.B.C.,-100,-75,15 AR,,https://www.geonames.org/730435
95,"ch1,94",Turkey,1974,,c.85 B.C.?,-85,-85,37+ AR,,https://www.geonames.org/298795
96,"ch1,95",Attica,1969,,c.88-86 B.C,-88,-86,150 AE,,https://www.geonames.org/6692632
97,"ch1,96",Lycia,1970/1,,c.85 B.C.,-85,-85,200+ AR,,https://pleiades.stoa.org/places/638965
98,"ch1,97","Kuklen, Bulgaria",before 1960,,1st cen BC,-99,0,AR,,https://www.geonames.org/6458938
99,"ch1,98","Gura Riului, Romania",1974,,1st cen BC,-99,0,AR,,https://www.geonames.org/676495
100,"ch1,99",Padarevo,,,1st cen BC,-99,0,33 AR,,
101,"ch1,100",,1970,,1st cen BC,-99,0,28 AR,,
102,"ch1,101","S'dievo,",,,1st cen BC,-99,0,47 AR,,
103,"ch1,102",Turkey,,,c.60 B.C.,-60,-60,AR,,https://www.geonames.org/298795
104,"ch1,103",Syria,1970/ I,,Mid. 1st.cent. B.C.,-75,-25,'hundreds' A R,,https://www.geonames.org/163843
105,"ch1,104",Basarabi,1968,,Mid.1sl.cenl.B.C.,-75,-25,Pot hoard. AR,,https://www.geonames.org/685311
106,"ch1,105",Sarnakounk,1945,,"31 B,C",-31,-31,,,https://www.geonames.org/174788
107,"ch1,106",Vinograd,1964,,1st cent. B.C.,-99,0,In excavations. AE,,https://www.geonames.org/725883
108,"ch1,107","N, Coast of Turkey,",1973,,1st. cent. B.C.,-99,0,AE,,https://www.geonames.org/10922499
109,"ch1,108","S.Asia Minor,",1972,,"Late l st.cent, B.C.",-25,0,523+ AE,,https://www.geonames.org/10922502
110,"ch1,109",Burdur,1968,,c.30 b.c,-30,-30,AE,,https://www.geonames.org/320390
111,"ch1,110",Lycia,before 1930,,c.15 B.C. or later,-15,45,55+ AR,,https://pleiades.stoa.org/places/638965
116,"ch1,115",North Africa,1973?,,c.A.D.35.,35,35,AR,,https://pleiades.stoa.org/places/775
117,"ch1,116",Caesarea,1972,,c.A.D.50,50,50,62+ AR,,https://pleiades.stoa.org/places/678401
118,"ch1,117","Chashmah-i-AIi,",1934,,Ist.halfof l st.ccnt A.D.,0,50,531 AE,,https://pleiades.stoa.org/places/971728
119,"ch1,118",Isfiya,,,cAD. 60.,60,60,5225 AR,,https://pleiades.stoa.org/places/678191
120,"ch1,119",Irbid,1955,,A.D. 64/5,64,65,55 AR,,https://www.geonames.org/248944
121,"ch1,120",Aradus (?),,,191,191,191,57AR,,https://pleiades.stoa.org/places/668197
122,"ch1,121",Tyra,1950,,Early 3rd.cent.A.D.,201,225,5 AR + 55 AE,,https://pleiades.stoa.org/places/678437
123,"ch1,122",Cilicia,,,c. 125,-125,-125,42 AR,,https://pleiades.stoa.org/places/658440
126,"ch1,125","Vrkasice, Serbia",1966,,253/4.,253,254,117 AE,,https://www.geonames.org/845428
127,"ch1,126",Iskenderum,1972,,253/4.,253,254,668 AR,,https://www.geonames.org/311111
128,"ch1,127",Homs,1970,,253/4,253,254,AR,,https://www.geonames.org/169577
129,"ch1,128",Eleusis,1902,,267,267,267,972 AE,,https://www.geonames.org/262752
130,"ch1,129",Athens,,,267,267,267,"Discussion of hoards and deposits in the Athenian Agora excavations da table to the time of the Herulian destruction, .",,https://www.geonames.org/264371
131,"ch1,130",Tamansk,1970,,c.275,275,275,Pot hoard. Bill,,
132,"ch1,131",Sudak,1959,,c.292.,292,292,1006 Bill. + 13 AE,,https://www.geonames.org/692315
133,"ch2,1",A FIELD IN WESTERN THRACE,,,500-480 B.C.,-500,-480,,,https://www.geonames.org/734064
139,"ch2,7","Sveti-Blas, Burgas, Bulgaria",1948,,550-500 B.C.,-550,-500,3 + EL.,,https://www.geonames.org/725816
140,"ch2,8","Sambiase, Bruttium, Italy,",1959,,520 B.C,-520,-520,58 AR,,https://www.geonames.org/2523535
141,"ch2,9","Valesio, Calabria, Italy",,,c. 500 B.C,-500,-500,10 + AR,,https://www.geonames.org/3209033
142,"ch2,10",Egypt,1971/72,,500 B.c.,-500,-500,14 + AR,,https://www.geonames.org/357994
143,"ch2,11","Caldag, Sardes, Turkey",1945,,500--490 b.c,-500,-490,2000AR,,https://pleiades.stoa.org/places/550867
144,"ch2,12",Sicily,1959,,488 B.C,-488,-488,28 + AR,,https://www.geonames.org/2523119
