id,hoard,mint,mint_uri,mint_info,count,min_count,max_count,count_info,denomination,denommenation_uri,material,material_uri,ruler,ruler_uri,type,obv_type,rev_type,countermark,intrusion,notes,sources,weight (g),rotation,diam
1,"ch1,1",Croesus,,,6,,,,"st., heavy standard",http://nomisma.org/id/stater,,,Croesus,,,,,,,,,,,
2,"ch1,2",unspecified,,,,,,,"sixth, plated",http://nomisma.org/id/sixth-unit,,,,,Raised square/incuse square,,,,,,,,,
3,"ch1,2",unspecified,,,,,,,"24th, plated",,,,,,Scorpion?,,,,,,,,,
4,"ch1,2",unspecified,,,,,,,24th,,,,,,Lion Head 1,,,,,,,,,
5,"ch1,2",unspecified,,,2,,,,48ths,,,,,,Lion Head 1,,,,,,,,,
6,"ch1,2",unspecified,,,,,,,48ths,,,,,,Horse forepart,,,,,,,,,
7,"ch1,2",unspecified,,,,,,,48ths,,,,,,Crab,,,,,,,,,
8,"ch1,2",unspecified,,,,,,,48ths,,,,,,Eagle head,,,,,,,,,
9,"ch1,2",unspecified,,,,,,,48ths,,,,,,Rosette,,,,,,,,,
10,"ch1,2",unspecified,,,10,,,,96ths,,,,,,Globule or rosette,,,,,,,,,
11,"ch1,2",unspecified,,,4,,,,24ths,,,,,,Uncertain types (EL),,,,,,,,,
12,"ch1,2",unspecified,,,11,,,,48ths,,,,,,Uncertain types (EL),,,,,,,,,
13,"ch1,2",unspecified,,,15,,,,48ths,,,,,,Uncertain types (EL),,,,,,,,,
14,"ch1,3",unspecified,,,1,,,,c. 0_92 gm. (? Phocaean ob.),,,,,,Female head/incuse square (as SNC von A 1808-12),,,,,,,,,
15,"ch1,3",unspecified,,,353,,,,c. 0.42 (? ½ ob.),,,,,,Female head/incuse square (as SNC von A 1808-12),,,,,,,,,
16,"ch1,3",unspecified,,,552,,,,c. 0.21 (? ¼ ob.),,,,,,Female head/incuse square (as SNC von A 1808-12),,,,,,,,,
17,"ch1,3",unspecified,,,50,,,,Hammered silver disks,,,,,,Unknown,,,,,,,,,
18,"ch1,3",unspecified,,,,,,,Silver scraps,,,,,,Unknown,,,,,,,,,
19,"ch1,4",Lete,https://pleiades.stoa.org/places/491651,,1,,,,st,http://nomisma.org/id/stater,,,,,early style,,,,,,,,,
20,"ch1,4",Dicaea by Abdera,https://pleiades.stoa.org/places/501399,,1,,,,st,http://nomisma.org/id/stater,,,,,(Obv. NC 1965 pl. 11.4),,,,,,,,,
21,"ch1,4",Lycia,https://pleiades.stoa.org/places/638965,,1,,,,st,http://nomisma.org/id/stater,,,,,,,,,,,,,,
22,"ch1,4",Asia Minor,https://pleiades.stoa.org/places/837,,1,,,,st,http://nomisma.org/id/stater,,,,,"horse forepart, cf. Traite pI. X11I.24",,,,,,,,,
23,"ch1,4","Salamis, Cyprus",https://pleiades.stoa.org/places/707617,,1,,,,st,http://nomisma.org/id/stater,,,Euelthon,,Euelthon,,,,,,,,,
24,"ch1,4",Cyprus incert.,https://pleiades.stoa.org/places/707498,,1,,,,st,http://nomisma.org/id/stater,,,,,Obv. foreparts of boar and lion superimposed; mi-te. Rev. winged solar disk; si-pa-lo-pi),,,,,,,,,
25,"ch1,4",Incert.,,,1,,,,st,http://nomisma.org/id/stater,,,,,lion head? 9.81 gm.,,,,,,,,,
26,"ch1,4",Incert.,,,1,,,,st,http://nomisma.org/id/stater,,,,,"head of Achelous, 10.25 gm.",,,,,,,,,
27,"ch1,4",Inccrt. Myrcinus?,,,1,,,,st,http://nomisma.org/id/stater,,,,,"stellate pattern of leave and branch, .56 gm.)",,,,,,,,,
28,"ch1,4",Incert.,,,1,,,,1 ½ st.,,,,,,"Obv. stylized bucranium. Rev. star, 5.62 gm.",,,,,,,,,
29,"ch1,5",Aegina,https://pleiades.stoa.org/places/579853,,4,,,,st,http://nomisma.org/id/stater,,,,,,,,,,,,,,
30,"ch1,5",Aegina,https://pleiades.stoa.org/places/579853,,2,,,,dr,http://nomisma.org/id/drachma,,,,,,,,,,,,,,
31,"ch1,5",Aegina,https://pleiades.stoa.org/places/579853,,1,,,,½ dr,http://nomisma.org/id/hemidrachm,,,,,,,,,,,,,,
32,"ch1,5",Aegina,https://pleiades.stoa.org/places/579853,,5,,,,obs,http://nomisma.org/id/obol,,,,,down to mill sail reverse.,,,,,,,,,
33,"ch1,6",Lycian dynasts,https://pleiades.stoa.org/places/638965,,,,,,st.,http://nomisma.org/id/stater,,,,,none,,,,,,,,,
34,"ch1,6",Lycian dynasts,https://pleiades.stoa.org/places/638965,,,,,,st.,http://nomisma.org/id/stater,,,trisceles,,trisceles,,,,,,,,,
35,"ch1,6",Lycian dynasts,https://pleiades.stoa.org/places/638965,,,,,,st.,http://nomisma.org/id/stater,,,pentasceles,,pentasceles,,,,,,,,,
36,"ch1,6",Lycian dynasts,https://pleiades.stoa.org/places/638965,,,,,,st.,http://nomisma.org/id/stater,,,,,facing hull's head,,,,,,,,,
37,"ch1,6",Lycian dynasts,https://pleiades.stoa.org/places/638965,,,,,,st.,http://nomisma.org/id/stater,,,,,facing lion's head,,,,,,,,,
38,"ch1,6",Lycian dynasts,https://pleiades.stoa.org/places/638965,,,,,,st.,http://nomisma.org/id/stater,,,,,lion head I,,,,,,,,,
39,"ch1,7",Corcyra,https://pleiades.stoa.org/places/530834,,1,,,,st.,http://nomisma.org/id/stater,,,,,,,,,,,,,,
40,"ch1,7",Eretria,https://pleiades.stoa.org/places/579925,,1,,,,tetr. Frag.,,,,,,,,,,,,,,,
41,"ch1,7",Athens,https://pleiades.stoa.org/places/579885,,1,,,,tetr.,http://nomisma.org/id/tetradrachm,,,,,Seltman grp. E,,,,,,,,,
42,"ch1,7","Salamis, Cyprus",https://pleiades.stoa.org/places/707617,,1,,,,st. frag,,,,Euelthon,,Euelthon,,,,,,,,,
43,"ch1,7",Incert.,,,1,,,,,,,,,,,,,,,,,,,
44,"ch1,7",Incert.,,,18,,,,"Ingots, frags",http://nomisma.org/id/ingot,,,,,,,,,,,,,,
45,"ch1,8",Aegina,https://pleiades.stoa.org/places/579853,,103,,,,st.,http://nomisma.org/id/stater,,,,,down to small skew,,,,,,,,,
46,"ch1,9",Gela,https://pleiades.stoa.org/places/462214,,2,,,,didr,http://nomisma.org/id/didrachm,,,,,"Jenkins 7,28 (2)",,,,,,,,,
47,"ch1,9",Gela,https://pleiades.stoa.org/places/462214,,1,,,,didr,http://nomisma.org/id/didrachm,,,,,?,,,,,,,,,
48,"ch1,9",Acragas,https://pleiades.stoa.org/places/462086,,3,,,,didr,http://nomisma.org/id/didrachm,,,,,AKRA,,,,,,,,,
49,"ch1,10",Acragas,https://pleiades.stoa.org/places/462086,,1,,,,didr,http://nomisma.org/id/didrachm,,,,,AKRA and symbol eagle I,,,,,,,,,
50,"ch1,10",Acragas,https://pleiades.stoa.org/places/462086,,3,,,,didr,http://nomisma.org/id/didrachm,,,,,Full inscr. clock- wise,,,,,,,,,
51,"ch1,10",Syracuse,https://pleiades.stoa.org/places/462503,,,,,,?,,,,,,?,,,,,,,,,
52,"ch1,11",Neapolis,https://pleiades.stoa.org/places/501523,,12,,,,st.,http://nomisma.org/id/stater,,,,,,,,,,,,,,
53,"ch1,11",Neapolis,https://pleiades.stoa.org/places/501523,,4,,,,diobs.,http://nomisma.org/id/diobol,,,,,,,,,,,,,,
54,"ch1,11",Thasos,https://pleiades.stoa.org/places/501634,,10,,,,st.,http://nomisma.org/id/stater,,,,,,,,,,,,,,
55,"ch1,11",Thasos,https://pleiades.stoa.org/places/501634,,29,,,,fractions,,,,,,,,,,,,,,,
56,"ch1,12",Aegina,https://pleiades.stoa.org/places/579853,,5,,,,st.,http://nomisma.org/id/stater,,,,,small skew,,,,,,,,,
57,"ch1,12",Aegina,https://pleiades.stoa.org/places/579853,,1,,,,st.,http://nomisma.org/id/stater,,,,,tortoise,,,,,,,,,
58,"ch1,13",Corinth,https://pleiades.stoa.org/places/570182,,21,,,,st.,http://nomisma.org/id/stater,,,,,Per.I,,,,,,,,,
59,"ch1,13",Corinth,https://pleiades.stoa.org/places/570182,,27,,,,st.,http://nomisma.org/id/stater,,,,,Per.II,,,,,,,,,
60,"ch1,13",Leucas,https://pleiades.stoa.org/places/530974,,28,,,,st.,http://nomisma.org/id/stater,,,,,,,,,,,,,,
61,"ch1,14",Aradus,https://pleiades.stoa.org/places/668197,,3,,,,,,,,,,,,,,,,,,,
62,"ch1,14",Sidon,https://pleiades.stoa.org/places/678393,,9,,,,,,,,,,,,,,,,,,,
63,"ch1,14",Persia,https://nomisma.org/id/persia,,1,,,,sigl.,http://nomisma.org/id/siglos,,,,,drawing bow,,,,,,,,,
64,"ch1,14",Edoni (Getas),https://pleiades.stoa.org/places/658457,,1,,,,,,,,,,,,,,,,,,,
65,"ch1,14",Acanthus,https://pleiades.stoa.org/places/501339,,1,,,,tetr.,http://nomisma.org/id/tetradrachm,,,,,,,,,,,,,,
66,"ch1,14",Aegina,https://pleiades.stoa.org/places/579853,,1,,,,st.,http://nomisma.org/id/stater,,,,,large skew,,,,,,,,,
